model,valore_AIC,valore_BIC_data,valore_BIC_subject,valore_LogLikelihood,signifi_interc1,signifi_linear1,signifi_quadra1,signifi_cubic1,signifi_quarti1,signifi_interc2,signifi_linear2,signifi_quadra2,signifi_cubic2,signifi_quarti2,signifi_interc3,signifi_linear3,signifi_quadra3,signifi_cubic3,signifi_quarti3,signifi_interc4,signifi_linear4,signifi_quadra4,signifi_cubic4,signifi_quarti4
2344,-9539,-9619,-9594,-9519,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2411,-9502,-9562,-9544,-9487,3,3,3,,,3,0,0,0,0,3,3,,,,3,3,,,
2412,-10354,-10418,-10399,-10338,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,0,,
2413,-9464,-9532,-9511,-9447,3,3,3,,,3,0,0,0,0,3,3,,,,3,3,3,3,
2414,-9465,-9537,-9515,-9447,3,3,3,,,3,0,0,0,0,3,3,,,,3,2,0,0,0
2421,-9490,-9554,-9534,-9474,3,3,3,,,3,0,0,0,1,3,3,3,,,3,3,,,
2422,-9464,-9532,-9511,-9447,3,3,3,,,3,0,0,0,0,3,3,3,,,3,3,3,,
2423,-9452,-9524,-9502,-9434,3,3,3,,,3,0,0,0,0,3,3,3,,,3,3,3,3,
2424,-9452,-9528,-9505,-9433,3,3,3,,,3,0,0,0,1,3,3,3,,,3,2,0,0,0
2431,-9487,-9555,-9534,-9470,3,3,3,,,3,0,0,0,1,3,0,2,3,,3,3,,,
2432,-9463,-9534,-9512,-9445,3,3,3,,,3,0,0,0,0,3,0,0,2,,3,3,3,,
2433,-9452,-9528,-9505,-9433,3,3,3,,,3,0,0,0,0,3,0,0,0,,3,3,3,3,
2434,-9461,-9541,-9516,-9441,3,3,3,,,3,0,0,0,1,3,0,0,2,,3,0,1,2,2
2441,-9495,-9566,-9544,-9477,3,3,3,,,3,0,0,0,0,3,0,0,0,0,3,2,,,
2442,-9463,-9538,-9515,-9444,3,3,3,,,3,0,0,0,0,3,0,1,1,0,3,3,3,,
2443,-9462,-9542,-9517,-9442,3,3,3,,,3,0,0,0,0,3,0,1,1,0,3,3,0,1,
2444,-9461,-9545,-9519,-9440,3,3,3,,,3,0,0,0,0,3,0,1,1,0,3,0,1,2,2
3111,-9507,-9558,-9542,-9494,3,3,0,0,,3,3,,,,3,3,,,,3,3,,,
3112,-9565,-9621,-9604,-9551,0,0,0,0,,0,0,,,,0,0,,,,0,0,0,,
3113,-9501,-9561,-9542,-9486,3,1,3,3,,3,2,,,,3,3,,,,3,3,0,0,
3114,-9610,-9674,-9654,-9594,0,0,0,0,,0,0,,,,0,0,,,,0,0,0,0,0
3121,-9639,-9695,-9678,-9625,0,0,0,0,,0,0,,,,0,0,0,,,0,0,,,
3122,-9537,-9597,-9578,-9522,0,0,0,0,,0,0,,,,0,0,0,,,0,0,0,,
3123,-9495,-9559,-9539,-9479,3,1,3,3,,3,2,,,,3,2,3,,,3,3,0,0,
3124,-9495,-9563,-9542,-9478,3,3,0,0,,3,2,,,,3,2,3,,,3,0,0,0,0
3131,-9500,-9560,-9542,-9485,3,3,0,0,,3,3,,,,3,0,0,2,,3,2,,,
3132,-9471,-9534,-9515,-9455,3,3,0,0,,3,3,,,,3,0,0,2,,3,3,3,,
3133,-9462,-9530,-9509,-9445,3,3,3,3,,3,3,,,,3,0,0,0,,3,3,0,2,
3134,-9830,-9902,-9880,-9812,0,0,0,0,,0,0,,,,0,0,0,0,,0,0,0,0,0
3141,-9501,-9565,-9545,-9485,3,3,0,0,,3,3,,,,3,0,0,0,0,3,2,,,
3142,-9471,-9538,-9517,-9454,3,3,0,0,,3,3,,,,3,0,1,1,0,3,3,3,,
3143,-9495,-9567,-9544,-9477,3,1,3,3,,3,2,,,,3,0,0,0,0,3,3,0,0,
3144,-9463,-9539,-9515,-9444,3,3,0,2,,3,3,,,,3,0,0,0,0,3,1,0,0,0
3211,-9505,-9561,-9544,-9491,3,3,0,0,,3,3,2,,,3,3,,,,3,2,,,
3212,-9480,-9540,-9521,-9465,3,3,0,1,,3,2,3,,,3,3,,,,3,3,3,,
3213,-9470,-9534,-9514,-9454,3,3,3,3,,3,2,3,,,3,3,,,,3,3,0,2,
3214,-9611,-9679,-9658,-9594,0,0,0,0,,0,0,0,,,0,0,,,,0,0,0,0,0
3221,-9500,-9560,-9541,-9485,3,3,0,0,,3,3,2,,,3,2,3,,,3,1,,,
3222,-9467,-9531,-9511,-9451,3,3,0,1,,3,2,3,,,3,3,3,,,3,3,3,,
3223,-9464,-9531,-9510,-9447,3,3,0,0,,3,3,3,,,3,3,3,,,3,1,3,3,
3224,-9458,-9530,-9507,-9440,3,3,3,3,,3,2,3,,,3,3,3,,,3,0,0,1,0
3231,-9499,-9563,-9543,-9483,3,3,0,0,,3,3,2,,,3,0,0,2,,3,1,,,
3232,-9465,-9533,-9512,-9448,3,3,0,1,,3,2,3,,,3,0,0,2,,3,3,3,,
3233,-9462,-9534,-9512,-9444,3,3,0,0,,3,3,3,,,3,0,0,2,,3,1,3,3,
3234,-9459,-9534,-9511,-9440,3,3,0,2,,3,2,3,,,3,0,0,0,,3,2,0,0,0
3241,-9500,-9568,-9547,-9483,3,3,0,0,,3,3,2,,,3,0,0,0,0,3,0,,,
3242,-9465,-9537,-9515,-9447,3,3,0,1,,3,2,3,,,3,0,1,1,0,3,3,3,,
3243,-9458,-9534,-9511,-9439,3,3,0,2,,3,2,3,,,3,0,0,0,0,3,3,3,3,
3244,-9462,-9542,-9517,-9442,3,3,0,1,,3,3,3,,,3,0,1,1,0,3,0,0,0,0
3311,-9489,-9549,-9531,-9474,3,3,3,3,,3,3,3,3,,3,3,,,,3,3,,,
3312,-9465,-9528,-9509,-9449,3,3,3,3,,3,3,3,3,,3,3,,,,3,3,3,,
3313,-9463,-9531,-9510,-9446,3,3,3,3,,3,3,3,3,,3,3,,,,3,3,0,2,
3314,-9463,-9534,-9512,-9445,3,3,3,3,,3,3,3,3,,3,3,,,,3,0,1,2,1
3321,-9495,-9559,-9539,-9479,3,3,0,0,,3,1,3,3,,3,2,3,,,3,2,,,
3322,-9452,-9520,-9499,-9435,3,3,3,3,,3,3,3,3,,3,3,3,,,3,3,3,,
3323,-9451,-9523,-9501,-9433,3,3,3,3,,3,3,3,3,,3,3,3,,,3,3,0,2,
3324,-9451,-9527,-9503,-9432,3,3,3,3,,3,3,3,3,,3,3,3,,,3,0,1,2,1
3331,-9494,-9562,-9541,-9477,3,3,0,0,,3,1,3,3,,3,0,0,2,,3,2,,,
3332,-9462,-9534,-9512,-9444,3,3,0,0,,3,1,3,3,,3,0,0,2,,3,3,3,,
3333,-9451,-9527,-9504,-9432,3,3,0,2,,3,3,3,3,,3,0,0,0,,3,3,3,3,
3334,-9451,-9531,-9506,-9431,3,3,3,3,,3,3,3,3,,3,0,0,0,,3,0,0,1,1
3341,-9495,-9567,-9544,-9477,3,3,0,0,,3,1,3,3,,3,0,0,0,0,3,2,,,
3342,-9453,-9529,-9505,-9434,3,3,3,3,,3,3,3,3,,3,0,0,0,0,3,3,3,,
3343,-9451,-9531,-9507,-9431,3,3,0,2,,3,3,3,3,,3,0,0,0,0,3,3,3,3,
3344,-9452,-9535,-9510,-9431,3,3,0,2,,3,3,3,3,,3,0,0,0,0,3,2,0,0,0
3411,-9489,-9553,-9533,-9473,3,3,3,3,,3,0,0,0,1,3,3,,,,3,3,,,
3412,-9464,-9532,-9511,-9447,3,3,3,3,,3,0,0,0,0,3,3,,,,3,3,3,,
3413,-9463,-9535,-9512,-9445,3,3,0,2,,3,0,0,0,0,3,3,,,,3,3,3,3,
3414,-9462,-9538,-9514,-9443,3,3,3,3,,3,0,0,0,1,3,3,,,,3,0,1,2,1
3421,-9477,-9545,-9524,-9460,3,3,3,3,,3,0,0,0,1,3,3,3,,,3,3,,,
3422,-9452,-9524,-9502,-9434,3,3,3,3,,3,0,0,0,0,3,3,3,,,3,3,3,,
3423,-9451,-9526,-9503,-9432,3,3,0,2,,3,0,0,0,1,3,3,3,,,3,3,3,3,
3424,-9451,-9531,-9506,-9431,3,3,0,2,,3,0,0,0,1,3,3,3,,,3,2,0,0,0
3431,-9476,-9548,-9526,-9458,3,3,3,3,,3,0,0,0,1,3,0,0,2,,3,3,,,
3432,-9452,-9528,-9505,-9433,3,3,3,3,,3,0,0,0,0,3,0,0,0,,3,3,3,,
3433,-9451,-9530,-9506,-9431,3,3,0,2,,3,0,0,0,1,3,0,0,0,,3,3,3,3,
3434,-9451,-9534,-9509,-9430,3,3,0,2,,3,0,0,0,2,3,0,0,0,,3,2,0,0,0
3441,-9495,-9571,-9547,-9476,3,3,0,0,,3,0,0,0,0,3,0,0,0,0,3,2,,,
3442,-9462,-9542,-9517,-9442,3,3,0,1,,3,0,0,0,0,3,0,1,1,0,3,3,3,,
